User,Text,Date,lat,long
CocoSuede,It’s hurricane season. I work in insurance. Pass me some drügs!!! ,2020-08-31 23:49:13+00:00,32.887890933735775,-102.04440835666918
CA_CHI_Health2,"See our latest #McHenry, IL job and click to apply: EMT or Paramedic - Hurricane Relief (Louisiana) - https://bit.ly/3hMqWA6 #Healthcare",2020-08-31 23:30:04+00:00,29.876115790285972,-76.13318231089484
cenewman0,You must be close to the coast if windstorm is required. But I wonder how common it is in inland areas of coastal states... I’m betting more common for companies to cover wind but enact a higher hurricane deductible for named storms. Whereas on the coast they exclude wind.,2020-08-31 23:03:05+00:00,29.107032482442186,-87.89146732760511
mrsjohn45,Is Hurricane Laura caused by the Democrats? Try being a grown up and not a dumbass,2020-08-31 23:02:16+00:00,31.558381136299133,-99.61823917494812
cenewman0,"Yeah but SE NC is pretty close to the coast, right? We’re 200 miles inland. I’m assuming most insurance companies refuse hurricane wind coverage altogether only closer to the coast.",2020-08-31 22:54:54+00:00,29.659535730532756,-71.48055537060878
cenewman0,Soooo... Are people’s homeowner’s policies going to cover wind damage from this hurricane? Because who in north Louisiana has hurricane windstorm insurance,2020-08-31 22:43:52+00:00,30.711069082076005,-92.39697454366878
lilydaisyjoy,"@realDonaldTrump I am so happy you are still headed for Kenosha. We cannot have our President dictated to by street thugs. If Wisconsin were having hurricanes, fires, flooding, etc., even the democrat politicians &amp; citizens would be tapping their feet waiting for you.",2020-08-31 22:19:16+00:00,32.89641259920224,-88.57824027247425
MedcorJobs,"See our latest #McHenry, IL job and click to apply: EMT or Paramedic - Hurricane Relief (Louisiana) - https://bit.ly/3lDCU15 #Healthcare",2020-08-31 21:39:08+00:00,32.62666904202657,-74.9202256702307
Jeffrey74791122,"Here’s a dad joke for real: A guy walks in to a bar and asks the bartender for 1 corona and 2 Hurricanes. The bartender reply’s : sure thing, that will be 20.20 ",2020-08-31 21:21:01+00:00,30.29979279472886,-64.41978190722494
Ds43Dshank,We are one Nation. Let us all come together and help out Texas and Louisiana. Help the 14 families who lost someone. People who lost their homes and businesses. Donate tot he Hurricane Laura Relief Fund . Any amount counts let’s be united in this ,2020-08-31 21:20:44+00:00,31.047839382918088,-115.11125695626916
tarot_mommy,Glad I can help a family effected by the hurricane. I couldn’t imagine what it’s like to lose everything.,2020-08-31 21:02:17+00:00,29.53644516622827,-116.86957010865258
WxGreg,Wow this is amazing! 154 mph wind gust measured in the eyewall of Hurricane Laura! ,2020-08-31 20:50:29+00:00,30.882891249405954,-124.22709139560388
detroitmarc,Hurricanes @Wings on 3/10. Got back to hotel after game and Michigan had just reported their first cases. ,2020-08-31 20:44:14+00:00,32.77050402826139,-96.11235814077034
ddutka,"@ryanvaughan @BryanAMcCormick @ZachHolderWx @Ginger_Zee @NWSLittleRock @NWSMemphis @KATVToddYak Please tell me: What hurricane is blowing through Piggott, AR, this afternoon? My dogs want to know! My upper deck furniture took flight, chairs are blown over. ",2020-08-31 20:39:58+00:00,29.433128239825166,-91.0302119899544
CaddoSchools,Power has been restored to all campuses and facilities! Thank you @SWEPCoNews for working so hard following the hurricane. ,2020-08-31 20:26:13+00:00,32.431411534571765,-72.71338396692754
m_kordon,President Trump will not leave any American behind in this terrible hurricanes. Go Trump,2020-08-31 20:21:02+00:00,30.54095841977694,-125.45516598381744
KrisCaldwell27,SOFTBALL FRIENDS one of our own @JennieFinch and her community have been devastated by a hurricane. They need water. Help me by donating to the cause and I will get h2o to her or send water.,2020-08-31 20:11:07+00:00,28.888260302339198,-115.24451021979516
swhitmarsh,"With the remnants of Hurricane Laura passing overhead, Dry Falls was not, in fact, dry. @Dry Falls, Cullasaja River, NC https://www.instagram.com/p/CEkPn3zMnZ5/?igshid=1553tn1pn3sk9",2020-08-31 20:00:16+00:00,31.564427918840934,-97.62186532617892
VHMSr,"After hurricane Katrina you published pictures of black people ""Looting"" then a few days later of white people ""Foraging"". You have a short memory comrade ",2020-08-31 19:13:33+00:00,30.382718812516984,-122.04231940535527
_beenykole_,"Let’s talk about this rain. I’m minding my black ass business. Smack dead during a visit. The sun was out when I went in, it was hurricane Laura when I walked out. No umbrella or nothing. I’m so sad about it too.",2020-08-31 18:06:15+00:00,30.727720256609974,-91.8477256872817
FirstTexasHonda,"We did it! With your help, we've successfully filled a Ridgeline with pet supplies donations! Thanks to all who participated. With an influx of animals from Hurricane Laura, we are certain that @austinpetsalive! will be thrilled when we drop this off. #ClearTheShelters",2020-08-31 18:01:42+00:00,31.927337588000086,-118.03902575021974
