,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
0,CocoSuede,It’s hurricane season. I work in insurance. Pass me some drügs!!! ,2020-08-31 23:49:13+00:00,0,1,,,
1,CA_CHI_Health2,"See our latest #McHenry, IL job and click to apply: EMT or Paramedic - Hurricane Relief (Louisiana) - https://bit.ly/3hMqWA6 #Healthcare",2020-08-31 23:30:04+00:00,0,0,,#McHenry #Healthcare,
2,cenewman0,You must be close to the coast if windstorm is required. But I wonder how common it is in inland areas of coastal states... I’m betting more common for companies to cover wind but enact a higher hurricane deductible for named storms. Whereas on the coast they exclude wind.,2020-08-31 23:03:05+00:00,0,1,,,
3,mrsjohn45,Is Hurricane Laura caused by the Democrats? Try being a grown up and not a dumbass,2020-08-31 23:02:16+00:00,0,0,,,
4,cenewman0,"Yeah but SE NC is pretty close to the coast, right? We’re 200 miles inland. I’m assuming most insurance companies refuse hurricane wind coverage altogether only closer to the coast.",2020-08-31 22:54:54+00:00,0,1,,,
5,cenewman0,Soooo... Are people’s homeowner’s policies going to cover wind damage from this hurricane? Because who in north Louisiana has hurricane windstorm insurance,2020-08-31 22:43:52+00:00,0,2,,,
6,lilydaisyjoy,"@realDonaldTrump I am so happy you are still headed for Kenosha. We cannot have our President dictated to by street thugs. If Wisconsin were having hurricanes, fires, flooding, etc., even the democrat politicians &amp; citizens would be tapping their feet waiting for you.",2020-08-31 22:19:16+00:00,0,0,@realDonaldTrump,,
7,MedcorJobs,"See our latest #McHenry, IL job and click to apply: EMT or Paramedic - Hurricane Relief (Louisiana) - https://bit.ly/3lDCU15 #Healthcare",2020-08-31 21:39:08+00:00,0,0,,#McHenry #Healthcare,
8,Jeffrey74791122,"Here’s a dad joke for real: A guy walks in to a bar and asks the bartender for 1 corona and 2 Hurricanes. The bartender reply’s : sure thing, that will be 20.20 ",2020-08-31 21:21:01+00:00,0,1,,,
9,Ds43Dshank,We are one Nation. Let us all come together and help out Texas and Louisiana. Help the 14 families who lost someone. People who lost their homes and businesses. Donate tot he Hurricane Laura Relief Fund . Any amount counts let’s be united in this ,2020-08-31 21:20:44+00:00,0,0,,,
10,tarot_mommy,Glad I can help a family effected by the hurricane. I couldn’t imagine what it’s like to lose everything.,2020-08-31 21:02:17+00:00,0,0,,,
11,WxGreg,Wow this is amazing! 154 mph wind gust measured in the eyewall of Hurricane Laura! ,2020-08-31 20:50:29+00:00,0,5,,,
12,detroitmarc,Hurricanes @Wings on 3/10. Got back to hotel after game and Michigan had just reported their first cases. ,2020-08-31 20:44:14+00:00,0,0,,,
13,ddutka,"@ryanvaughan @BryanAMcCormick @ZachHolderWx @Ginger_Zee @NWSLittleRock @NWSMemphis @KATVToddYak Please tell me: What hurricane is blowing through Piggott, AR, this afternoon? My dogs want to know! My upper deck furniture took flight, chairs are blown over. ",2020-08-31 20:39:58+00:00,1,7,@ryanvaughan @BryanAMcCormick @ZachHolderWx @Ginger_Zee @NWSLittleRock @NWSMemphis @KATVToddYak,,
14,CaddoSchools,Power has been restored to all campuses and facilities! Thank you @SWEPCoNews for working so hard following the hurricane. ,2020-08-31 20:26:13+00:00,1,6,@SWEPCoNews,,
15,m_kordon,President Trump will not leave any American behind in this terrible hurricanes. Go Trump,2020-08-31 20:21:02+00:00,1,2,,,
16,KrisCaldwell27,SOFTBALL FRIENDS one of our own @JennieFinch and her community have been devastated by a hurricane. They need water. Help me by donating to the cause and I will get h2o to her or send water.,2020-08-31 20:11:07+00:00,1,3,@JennieFinch,,
17,swhitmarsh,"With the remnants of Hurricane Laura passing overhead, Dry Falls was not, in fact, dry. @Dry Falls, Cullasaja River, NC https://www.instagram.com/p/CEkPn3zMnZ5/?igshid=1553tn1pn3sk9",2020-08-31 20:00:16+00:00,0,0,,,
18,VHMSr,"After hurricane Katrina you published pictures of black people ""Looting"" then a few days later of white people ""Foraging"". You have a short memory comrade ",2020-08-31 19:13:33+00:00,0,0,,,
19,_beenykole_,"Let’s talk about this rain. I’m minding my black ass business. Smack dead during a visit. The sun was out when I went in, it was hurricane Laura when I walked out. No umbrella or nothing. I’m so sad about it too.",2020-08-31 18:06:15+00:00,0,0,,,
20,FirstTexasHonda,"We did it! With your help, we've successfully filled a Ridgeline with pet supplies donations! Thanks to all who participated. With an influx of animals from Hurricane Laura, we are certain that @austinpetsalive! will be thrilled when we drop this off. #ClearTheShelters",2020-08-31 18:01:42+00:00,1,4,@austinpetsalive,#ClearTheShelters,
21,FredMoojen,"Hurricane backpack from @Campea_sports #moojen #Campea #backpack #model #soccer #freddymoojen @Montreal, Quebec https://www.instagram.com/p/CEkBwHmD3iq/?igshid=1geb2su1d8vgc",2020-08-31 17:59:03+00:00,0,0,@Campea_Sports,#moojen #Campea #backpack #model #soccer #freddymoojen,
22,TMS_Counselor,Hurricane Laura wrecked havoc on Louisiana. There are some rural areas that aren’t getting many resources if any at all! The money in this fund will go back into those communities Please share!https://www.gofundme.com/f/hurricane-laura-rural-louisiana-help-fund?utm_source=customer&amp;utm_medium=copy_link&amp;utm_campaign=p_cf+share-flow-1 #HurricanLaura,2020-08-31 17:53:33+00:00,1,1,,#HurricanLaura,
23,Mark_KellC,"I’m currently doing hurricane duty , so if I’m slow on a reply bare wit me.",2020-08-31 17:52:14+00:00,0,0,,,
24,r_serenta,We later traveled to Mobile for our Annual Jr. College Convention. We stayed at the Riverview Hotel which had a great view of the Mobile Bay & Fort Conde. We couldn't see any hurricane damage from where our meetings were held. The seafood was delicious. I remembered Fredrick!,2020-08-31 17:44:24+00:00,0,1,,,
25,SknnyWtrCulture,@SknnyWtrCulture &amp; @danco_pliers have partnered with our dealers across the state to collect supplies for those impacted by Hurricane Laura in TX and LA. ⁣ ⁣ If you have the heart and means to give please stop by… https://www.instagram.com/p/CEj_2CZAUX5/?igshid=18mna1rt7kfs9,2020-08-31 17:42:26+00:00,0,0,@SknnyWtrCulture @danco_pliers,,
26,KeithPiccard,"Started the day off taking the family on a road trip to Paris, MI. Back story was that this was my wife and I’d 1st honeymoon since Hurricane Emily postpones the 1st one back in 2005. 1st pics are of Gail and I in 05 followed by today’s ",2020-08-31 17:42:25+00:00,0,0,,,
27,PhyddleDD,"No more building for me. The ""flood"" didn't flood the house behind me, beside me, the City Hall or Police Station. It was a direct tornado/hurricane hit.",2020-08-31 17:41:45+00:00,0,0,,,
28,JhendersonJames,"You created this mess just like you created the poor response to the pandemic and the present struggling economy. Super storms, hurricanes and fires all lay at your feet because of your climate change policies. Look in the mirror. ",2020-08-31 17:36:21+00:00,0,1,,,
