,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
0,Leticia_lety_le,Dirty dancing ,2020-08-30 15:37:20+00:00,0,3,,,
1,Leticia_lety_le,Deep purple ,2020-08-28 15:21:56+00:00,0,3,,,
2,Leticia_lety_le,,2020-08-28 11:14:31+00:00,0,2,,,
3,hicarux,"Hurricane,haunting,gasoline donas do album",2020-08-28 04:47:11+00:00,0,1,,,
4,EarthquakesLau,I’m a hurricane ,2020-08-28 04:38:23+00:00,0,0,,,
5,rogeriotricolor,As long as hurricane does not hit his properties he just does not care... his ego is bigger than American's safe and concern.,2020-08-27 03:28:08+00:00,0,0,,,
6,Leticia_lety_le,,2020-08-25 11:31:22+00:00,0,0,,,
7,lcpachecao,"""Rock you like a Hurricane"", por favor",2020-08-24 23:32:37+00:00,0,0,,,
8,oraoraDeh,When hurricanes and cyclones raged When winds turned dirt to dust When floods they came or tides they raised Ever closer became us ,2020-08-24 21:33:18+00:00,0,0,,,
9,Leticia_lety_le,,2020-08-24 12:53:49+00:00,0,1,,,
10,Maarcos47,No hurricane can move me Earthquakes can't shake me I will always stand my ground Always be around 'Cause no storm can fringe me Black holes can't take me I will always stand my ground Always be around,2020-08-23 23:39:55+00:00,0,0,,,
11,Trejo_Miguel,"More than 10 storms have been registered so far during the 2020 Atlantic hurricane season. Currently, there are two ongoing storms, one, which is classified as a hurricane, is already in the Gulf of Mexico and another one is approaching. Source: https://www.nhc.noaa.gov/gtwo.php?basin=atlc&amp;fdays=2",2020-08-23 20:44:32+00:00,0,3,,,
12,andersonbroker,"Bom dia ! Feliz Sexta-feira ""Hurricane"" de Bob Dylan na #deezer",2020-08-21 13:08:29+00:00,0,0,,#deezer,
13,gabsspy,"Broken, welcome to wonderland,robin hood, trying my best, hurricane luego me agradecen.",2020-08-21 07:09:32+00:00,0,0,,,
14,florimanya,"el avión es mas moderno y útil q el hurricane, de ka primera guerra lo usaron de muletilla , y hay gente q repite , gastos de mantenimiento ? con lo q gastas en la casa de Suárez mantener 10 aviones para traslados de enfermos y ayudar al interior , pero claro q importamos....",2020-08-20 21:38:02+00:00,0,3,,,
15,florimanya,hurricane*,2020-08-20 21:35:26+00:00,0,1,,,
16,AkiraOReal,https://open.spotify.com/track/50xyeJL2Hs9FDgtI1ROeB0?si=iKhitdeORWOP_GhBRISBrw like a bird in a cage trying to fly away is this the price we have to pay? overflowing with rage yet we still obey cause we’re asleep in a hurricane,2020-08-20 14:53:22+00:00,0,1,,,
17,Leticia_lety_le,Good morning,2020-08-20 14:17:36+00:00,0,1,,,
18,Gandaness_,Caiu meu Carolina Hurricanes :(((((((((((,2020-08-19 22:42:02+00:00,0,0,,,
19,vkseok,its you can dance in a hurricane all over again,2020-08-19 14:16:24+00:00,0,0,,,
