,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
0,JenRedmon,"Of course it’s time for life-threatening floods, 2020. ",2020-08-31 23:56:56+00:00,0,0,,,
1,NWSCharlestonWV,"Flash Flood Warning including Grundy VA, Harman VA, Hurley VA until 11:45 PM EDT ",2020-08-31 23:56:01+00:00,1,1,,,
2,iembot_lwx,"At 7:16 PM EDT, 4 SW Eheart [Albemarle Co, VA] DEPT OF HIGHWAYS reports FLOOD. VA-640 GILBERT STATION ROAD CLOSED DUE TO FLOODING BETWEEN VA-641 BURNLEY STATION ROAD AND COBHAM STATION LANE. https://mesonet.agron.iastate.edu/lsr/#LWX/202008312316/202008312316",2020-08-31 23:54:24+00:00,0,0,,,
3,NWSRaleigh,"Flash Flood Warning continues for Raleigh NC, Durham NC, Cary NC until 9:45 PM EDT ",2020-08-31 23:45:20+00:00,6,9,,,
4,RaeDiamond,Got damn the flood of emotions,2020-08-31 23:41:44+00:00,0,1,,,
5,CityofDurhamNC,Durham is included in this flash flood warning until 9:45 p.m. this evening. ,2020-08-31 23:34:57+00:00,4,3,,,
6,TropicalFunnies,The local flash flood warnings get to the point where they almost touch ,2020-08-31 23:33:44+00:00,1,2,,,
7,iembot_lwx,"At 6:38 PM EDT, 1 SW Everona [Orange Co, VA] 911 CALL CENTER reports FLOOD. BRIDGE UNDERWATER IN THE 22100 BLOCK OF HAWFIELD ROAD OVER MOUNTAIN RUN/WALKERS BRANCH. ROAD CLOSED. https://mesonet.agron.iastate.edu/lsr/#LWX/202008312238/202008312238",2020-08-31 23:33:10+00:00,0,0,,,
8,iembot_lwx,"At 5:30 PM EDT, 1 N Stevensburg [Culpeper Co, VA] 911 CALL CENTER reports FLOOD. VA-663 STEVENSBURG ROAD WAS CLOSED DUE TO FLOODING IN THE 18000 BLOCK. https://mesonet.agron.iastate.edu/lsr/#LWX/202008312130/202008312130",2020-08-31 23:29:27+00:00,0,0,,,
9,BoppTbopp,Huge flooding problem that hasn’t been addressed. Volunteered with Red Cross Flood Relief close to Perkins Creek. So sad. #AllthewaywithBray,2020-08-31 23:28:32+00:00,0,0,,#AllthewaywithBray,
10,iembot_lwx,"At 7:00 PM EDT, 1 ESE Slate Mills [Rappahannock Co, VA] 911 CALL CENTER reports FLOOD. PORTIONS OF VA-707 SLATE MILLS ROAD CLOSED DUE TO FLOODING NEAR VA-644 REVA ROAD. https://mesonet.agron.iastate.edu/lsr/#LWX/202008312300/202008312300",2020-08-31 23:26:18+00:00,0,0,,,
